HOG	OG	Gene Tree Parent Clade	Zymomonas_mobilis_ATCC10988	Zymomonas_mobilis_GLBRC	Zymomonas_mobilis_ZM4
N0.HOG0000278	OG0000246	-	Zmob_0209	ZMO1_ZMO1116	ZMO1116
N0.HOG0000279	OG0000247	-	Zmob_0210	ZMO1_ZMO1115	ZMO1115
N0.HOG0000280	OG0000248	-	Zmob_0211	ZMO1_ZMO1114	ZMO1114
N0.HOG0000281	OG0000249	-	Zmob_0212	ZMO1_ZMO1113	ZMO1113
N0.HOG0000282	OG0000250	-	Zmob_0213	ZMO1_ZMO1112	ZMO1112
N0.HOG0000283	OG0000251	-	Zmob_0214	ZMO1_ZMO1111	ZMO1111
N0.HOG0000284	OG0000252	-	Zmob_0215	ZMO1_ZMO1109	ZMO1109
N0.HOG0000285	OG0000253	-	Zmob_0217	ZMO1_ZMO1105	ZMO1105
N0.HOG0000286	OG0000254	-	Zmob_0218	ZMO1_ZMO1102	ZMO1102
N0.HOG0000287	OG0000255	-	Zmob_0219	ZMO1_ZMO1101	ZMO1101
N0.HOG0000288	OG0000256	-	Zmob_0220	ZMO1_ZMO1100	ZMO1100
N0.HOG0000289	OG0000257	-	Zmob_0221	ZMO1_ZMO1099	ZMO1099
N0.HOG0000290	OG0000258	-	Zmob_0222	ZMO1_ZMO1098	ZMO1098
N0.HOG0000291	OG0000259	-	Zmob_0223	ZMO1_ZMO1097	ZMO1097
N0.HOG0000292	OG0000260	-	Zmob_0224	ZMO1_ZMO1096	ZMO1096
N0.HOG0000293	OG0000261	-	Zmob_0225	ZMO1_ZMO1095	ZMO1095
N0.HOG0000294	OG0000262	-	Zmob_0226	ZMO1_ZMO1094	ZMO1094
N0.HOG0000295	OG0000263	-	Zmob_0227	ZMO1_ZMO1093	ZMO1093
N0.HOG0000296	OG0000264	-	Zmob_0228	ZMO1_ZMO1092	ZMO1092
N0.HOG0000297	OG0000265	-	Zmob_0229	ZMO1_ZMO1091	ZMO1091
N0.HOG0000298	OG0000266	-	Zmob_0230	ZMO1_ZMO1090	ZMO1090
N0.HOG0000299	OG0000267	-	Zmob_0231	ZMO1_ZMO1089	ZMO1089
N0.HOG0000300	OG0000268	-	Zmob_0232	ZMO1_ZMO1088	ZMO1088
N0.HOG0000301	OG0000269	-	Zmob_0233	ZMO1_ZMO1087	ZMO1087
N0.HOG0000302	OG0000270	-	Zmob_0234	ZMO1_ZMO1086	ZMO1086
N0.HOG0000303	OG0000271	-	Zmob_0235	ZMO1_ZMO1085	ZMO1085
N0.HOG0000304	OG0000272	-	Zmob_0236	ZMO1_ZMO1084	ZMO1084
N0.HOG0000305	OG0000273	-	Zmob_0238	ZMO1_ZMO1081	ZMO1081
N0.HOG0000306	OG0000274	-	Zmob_0239	ZMO1_ZMO1080	ZMO1080
N0.HOG0000307	OG0000275	-	Zmob_0240	ZMO1_ZMO1079	ZMO1079
N0.HOG0000308	OG0000276	-	Zmob_0241	ZMO1_ZMO1078	ZMO1078
N0.HOG0000309	OG0000277	-	Zmob_0242	ZMO1_ZMO1077	ZMO1077
N0.HOG0000310	OG0000278	-	Zmob_0243	ZMO1_ZMO1076	ZMO1076
N0.HOG0000311	OG0000279	-	Zmob_0244	ZMO1_ZMO1075	ZMO1075
N0.HOG0000312	OG0000280	-	Zmob_0245	ZMO1_ZMO1072	ZMO1072
N0.HOG0000313	OG0000281	-	Zmob_0246	ZMO1_ZMO1071	ZMO1071
N0.HOG0000314	OG0000282	-	Zmob_0247	ZMO1_ZMO1070	ZMO1070
N0.HOG0000315	OG0000283	-	Zmob_0248	ZMO1_ZMO1069	ZMO1069
N0.HOG0000316	OG0000284	-	Zmob_0249	ZMO1_ZMO1068	ZMO1068
N0.HOG0000317	OG0000285	-	Zmob_0250	ZMO1_ZMO1067	ZMO1067
N0.HOG0000318	OG0000286	-	Zmob_0252	ZMO1_ZMO1065	ZMO1065
N0.HOG0000319	OG0000287	-	Zmob_0253	ZMO1_ZMO1064	ZMO1064
N0.HOG0000320	OG0000288	-	Zmob_0254	ZMO1_ZMO1063	ZMO1063
N0.HOG0000321	OG0000289	-	Zmob_0255	ZMO1_ZMO1062	ZMO1062
N0.HOG0000322	OG0000290	-	Zmob_0256	ZMO1_ZMO1061	ZMO1061
N0.HOG0000323	OG0000291	-	Zmob_0257	ZMO1_ZMO1060	ZMO1060
N0.HOG0000324	OG0000292	-	Zmob_0258	ZMO1_ZMO1059	ZMO1059
N0.HOG0000325	OG0000293	-	Zmob_0259	ZMO1_ZMO1057	ZMO1057
N0.HOG0000326	OG0000294	-	Zmob_0260	ZMO1_ZMO1056	ZMO1056
N0.HOG0000327	OG0000295	-	Zmob_0261	ZMO1_ZMO1055	ZMO1055
N0.HOG0000328	OG0000296	-	Zmob_0262	ZMO1_ZMO1054	ZMO1054
N0.HOG0000329	OG0000297	-	Zmob_0266	ZMO1_ZMO1052	ZMO1052
N0.HOG0000330	OG0000298	-	Zmob_0267	ZMO1_ZMO1050	ZMO1050
N0.HOG0000331	OG0000299	-	Zmob_0268	ZMO1_ZMO1049	ZMO1049
N0.HOG0000332	OG0000300	-	Zmob_0269	ZMO1_ZMO1048	ZMO1048
N0.HOG0000333	OG0000301	-	Zmob_0270	ZMO1_ZMO1047	ZMO1047
N0.HOG0000334	OG0000302	-	Zmob_0271	ZMO1_ZMO1045	ZMO1045
N0.HOG0000335	OG0000303	-	Zmob_0272	ZMO1_ZMO1044	ZMO1044
N0.HOG0000336	OG0000304	-	Zmob_0273	ZMO1_ZMO1043	ZMO1043
N0.HOG0000337	OG0000305	-	Zmob_0274	ZMO1_ZMO1042	ZMO1042
N0.HOG0000338	OG0000306	-	Zmob_0275	ZMO1_ZMO1041	ZMO1041
N0.HOG0000339	OG0000307	-	Zmob_0276	ZMO1_ZMO1040	ZMO1040
N0.HOG0000340	OG0000308	-	Zmob_0277	ZMO1_ZMO1039	ZMO1039
N0.HOG0000341	OG0000309	-	Zmob_0278	ZMO1_ZMO1036	ZMO1036
N0.HOG0000342	OG0000310	-	Zmob_0279	ZMO1_ZMO1034	ZMO1034
N0.HOG0000343	OG0000311	-	Zmob_0280	ZMO1_ZMO1033	ZMO1033
N0.HOG0000344	OG0000312	-	Zmob_0281	ZMO1_ZMO1032	ZMO1032
N0.HOG0000345	OG0000313	-	Zmob_0282	ZMO1_ZMO1030	ZMO1030
N0.HOG0000346	OG0000314	-	Zmob_0283	ZMO1_ZMO1029	ZMO1029
N0.HOG0000347	OG0000315	-	Zmob_0284	ZMO1_ZMO1027	ZMO1027
N0.HOG0000348	OG0000316	-	Zmob_0285	ZMO1_ZMO1026	ZMO1026
N0.HOG0000349	OG0000317	-	Zmob_0286	ZMO1_ZMO1025	ZMO1025
N0.HOG0000350	OG0000318	-	Zmob_0287	ZMO1_ZMO1023	ZMO1023
N0.HOG0000351	OG0000319	-	Zmob_0288	ZMO1_ZMO1022	ZMO1022
N0.HOG0000352	OG0000320	-	Zmob_0289	ZMO1_ZMO1021	ZMO1021
N0.HOG0000353	OG0000321	-	Zmob_0290	ZMO1_ZMO1020	ZMO1020
N0.HOG0000354	OG0000322	-	Zmob_0291	ZMO1_ZMO1019	ZMO1019
N0.HOG0000355	OG0000323	-	Zmob_0292	ZMO1_ZMO1018	ZMO1018
N0.HOG0000356	OG0000324	-	Zmob_0293	ZMO1_ZMO1017	ZMO1017
N0.HOG0000357	OG0000325	-	Zmob_0294	ZMO1_ZMO1016	ZMO1016
N0.HOG0000358	OG0000326	-	Zmob_0295	ZMO1_ZMO1015	ZMO1015
N0.HOG0000359	OG0000327	-	Zmob_0296	ZMO1_ZMO1014	ZMO1014
N0.HOG0000360	OG0000328	-	Zmob_0297	ZMO1_ZMO1013	ZMO1013
N0.HOG0000361	OG0000329	-	Zmob_0298	ZMO1_ZMO1012	ZMO1012
N0.HOG0000362	OG0000330	-	Zmob_0299	ZMO1_ZMO1011	ZMO1011
N0.HOG0000363	OG0000331	-	Zmob_0300	ZMO1_ZMO1010	ZMO1010
N0.HOG0000364	OG0000332	-	Zmob_0301	ZMO1_ZMO1009	ZMO1009
N0.HOG0000365	OG0000333	-	Zmob_0302	ZMO1_ZMO1008	ZMO1008
N0.HOG0000366	OG0000334	-	Zmob_0303	ZMO1_ZMO1007	ZMO1007
N0.HOG0000367	OG0000335	-	Zmob_0304	ZMO1_ZMO1006	ZMO1006
N0.HOG0000368	OG0000336	-	Zmob_0305	ZMO1_ZMO1005	ZMO1005
N0.HOG0000369	OG0000337	-	Zmob_0306	ZMO1_ZMO1004	ZMO1004
N0.HOG0000370	OG0000338	-	Zmob_0307	ZMO1_ZMO1003	ZMO1003
N0.HOG0000371	OG0000339	-	Zmob_0308	ZMO1_ZMO1002	ZMO1002
N0.HOG0000372	OG0000340	-	Zmob_0309	ZMO1_ZMO1001	ZMO1001
N0.HOG0000373	OG0000341	-	Zmob_0310	ZMO1_ZMO1000	ZMO1000
N0.HOG0000374	OG0000342	-	Zmob_0311	ZMO1_ZMO0999	ZMO0999
N0.HOG0000375	OG0000343	-	Zmob_0312	ZMO1_ZMO0998	ZMO0998
N0.HOG0000376	OG0000344	-	Zmob_0313	ZMO1_ZMO0997	ZMO0997
N0.HOG0000377	OG0000345	-	Zmob_0314	ZMO1_ZMO0996	ZMO0996
N0.HOG0000378	OG0000346	-	Zmob_0315	ZMO1_ZMO0994	ZMO0994
N0.HOG0000379	OG0000347	-	Zmob_0316	ZMO1_ZMO0992	ZMO0992
N0.HOG0000380	OG0000348	-	Zmob_0317	ZMO1_ZMO0989	ZMO0989
N0.HOG0000381	OG0000349	-	Zmob_0318	ZMO1_ZMO0988	ZMO0988
N0.HOG0000382	OG0000350	-	Zmob_0319	ZMO1_ZMO2009	ZMO2009
N0.HOG0000383	OG0000351	-	Zmob_0320	ZMO1_ZMO0987	ZMO0987
N0.HOG0000384	OG0000352	-	Zmob_0321	ZMO1_ZMO0986	ZMO0986
N0.HOG0000385	OG0000353	-	Zmob_0322	ZMO1_ZMO0985	ZMO0985
N0.HOG0000386	OG0000354	-	Zmob_0323	ZMO1_ZMO0984	ZMO0984
N0.HOG0000387	OG0000355	-	Zmob_0324	ZMO1_ZMO0983	ZMO2008
N0.HOG0000388	OG0000356	-	Zmob_0325	ZMO1_ZMO0982	ZMO0982
N0.HOG0000389	OG0000357	-	Zmob_0326	ZMO1_ZMO0981	ZMO0981
N0.HOG0000390	OG0000358	-	Zmob_0327	ZMO1_ZMO0980	ZMO0980
N0.HOG0000391	OG0000359	-	Zmob_0328	ZMO1_ZMO0979	ZMO0979
N0.HOG0000392	OG0000360	-	Zmob_0329	ZMO1_ZMO0978	ZMO0978
N0.HOG0000393	OG0000361	-	Zmob_0330	ZMO1_ZMO0976	ZMO0976
N0.HOG0000394	OG0000362	-	Zmob_0331	ZMO1_ZMO0975	ZMO0975
N0.HOG0000395	OG0000363	-	Zmob_0332	ZMO1_ZMO0974	ZMO0974
N0.HOG0000396	OG0000364	-	Zmob_0333	ZMO1_ZMO0973	ZMO0973
N0.HOG0000397	OG0000365	-	Zmob_0334	ZMO1_ZMO0972	ZMO0972
N0.HOG0000398	OG0000366	-	Zmob_0336	ZMO1_ZMO0970	ZMO0970
N0.HOG0000399	OG0000367	-	Zmob_0337	ZMO1_ZMO0969	ZMO0969
N0.HOG0000400	OG0000368	-	Zmob_0338	ZMO1_ZMO0968	ZMO0968
N0.HOG0000401	OG0000369	-	Zmob_0339	ZMO1_ZMO0967	ZMO0967
N0.HOG0000402	OG0000370	-	Zmob_0340	ZMO1_ZMO0966	ZMO0966
N0.HOG0000403	OG0000371	-	Zmob_0341	ZMO1_ZMO0965	ZMO0965
N0.HOG0000404	OG0000372	-	Zmob_0342	ZMO1_ZMO0964	ZMO0964
N0.HOG0000405	OG0000373	-	Zmob_0343	ZMO1_ZMO0963	ZMO0963
N0.HOG0000406	OG0000374	-	Zmob_0344	ZMO1_ZMO0962	ZMO0962
N0.HOG0000407	OG0000375	-	Zmob_0345	ZMO1_ZMO0961	ZMO0961
N0.HOG0000408	OG0000376	-	Zmob_0346	ZMO1_ZMO0959	ZMO0959
N0.HOG0000409	OG0000377	-	Zmob_0347	ZMO1_ZMO0958	ZMO0958
N0.HOG0000410	OG0000378	-	Zmob_0348	ZMO1_ZMO0957	ZMO0957
N0.HOG0000411	OG0000379	-	Zmob_0349	ZMO1_ZMO0956	ZMO0956
N0.HOG0000412	OG0000380	-	Zmob_0353	ZMO1_ZMO0952	ZMO0952
N0.HOG0000413	OG0000381	-	Zmob_0354	ZMO1_ZMO0951	ZMO0951
N0.HOG0000414	OG0000382	-	Zmob_0355	ZMO1_ZMO0950	ZMO0950
N0.HOG0000415	OG0000383	-	Zmob_0356	ZMO1_ZMO0949	ZMO0949
N0.HOG0000416	OG0000384	-	Zmob_0357	ZMO1_ZMO0948	ZMO0948
N0.HOG0000417	OG0000385	-	Zmob_0359	ZMO1_ZMO0946	ZMO0946
N0.HOG0000418	OG0000386	-	Zmob_0360	ZMO1_ZMO0945	ZMO0945
N0.HOG0000419	OG0000387	-	Zmob_0361	ZMO1_ZMO0942	ZMO0942
N0.HOG0000420	OG0000388	-	Zmob_0363	ZMO1_ZMO0940	ZMO0940
N0.HOG0000421	OG0000389	-	Zmob_0364	ZMO1_ZMO0939	ZMO0939
N0.HOG0000422	OG0000390	-	Zmob_0365	ZMO1_ZMO0938	ZMO0938
N0.HOG0000423	OG0000391	-	Zmob_0366	ZMO1_ZMO0937	ZMO0937
N0.HOG0000424	OG0000392	-	Zmob_0367	ZMO1_ZMO0936	ZMO0936
N0.HOG0000425	OG0000393	-	Zmob_0368	ZMO1_ZMO0935	ZMO0935
N0.HOG0000426	OG0000394	-	Zmob_0369	ZMO1_ZMO0934	ZMO0934
N0.HOG0000427	OG0000395	-	Zmob_0370	ZMO1_ZMO0932	ZMO0932
N0.HOG0000428	OG0000396	-	Zmob_0371	ZMO1_ZMO0931	ZMO0931
N0.HOG0000429	OG0000397	-	Zmob_0372	ZMO1_ZMO0930	ZMO0930
N0.HOG0000430	OG0000398	-	Zmob_0373	ZMO1_ZMO0928	ZMO0928
N0.HOG0000431	OG0000399	-	Zmob_0374	ZMO1_ZMO0927	ZMO0927
N0.HOG0000432	OG0000400	-	Zmob_0375	ZMO1_ZMO2007	ZMO2007
N0.HOG0000433	OG0000401	-	Zmob_0376	ZMO1_ZMO0926	ZMO0926
N0.HOG0000434	OG0000402	-	Zmob_0377	ZMO1_ZMO0925	ZMO0925
N0.HOG0000435	OG0000403	-	Zmob_0378	ZMO1_ZMO0924	ZMO0924
N0.HOG0000436	OG0000404	-	Zmob_0379	ZMO1_ZMO0923	ZMO0923
N0.HOG0000437	OG0000405	-	Zmob_0380	ZMO1_ZMO0922	ZMO0922
N0.HOG0000438	OG0000406	-	Zmob_0381	ZMO1_ZMO0921	ZMO0921
N0.HOG0000439	OG0000407	-	Zmob_0382	ZMO1_ZMO0920	ZMO0920
N0.HOG0000440	OG0000408	-	Zmob_0385	ZMO1_ZMO0918	ZMO0918
N0.HOG0000441	OG0000409	-	Zmob_0386	ZMO1_ZMO0917	ZMO0917
N0.HOG0000442	OG0000410	-	Zmob_0388	ZMO1_ZMO0916	ZMO0916
N0.HOG0000443	OG0000411	-	Zmob_0389	ZMO1_ZMO0915	ZMO0915
N0.HOG0000444	OG0000412	-	Zmob_0390	ZMO1_ZMO0914	ZMO0914
N0.HOG0000445	OG0000413	-	Zmob_0391	ZMO1_ZMO0913	ZMO0913
N0.HOG0000446	OG0000414	-	Zmob_0392	ZMO1_ZMO0912	ZMO0912
N0.HOG0000447	OG0000415	-	Zmob_0393	ZMO1_ZMO0911	ZMO0911
N0.HOG0000448	OG0000416	-	Zmob_0394	ZMO1_ZMO0910	ZMO0910
N0.HOG0000449	OG0000417	-	Zmob_0395	ZMO1_ZMO0909	ZMO0909
N0.HOG0000450	OG0000418	-	Zmob_0396	ZMO1_ZMO0908	ZMO0908
N0.HOG0000451	OG0000419	-	Zmob_0397	ZMO1_ZMO0907	ZMO0907
N0.HOG0000452	OG0000420	-	Zmob_0398	ZMO1_ZMO0905	ZMO0905
N0.HOG0000453	OG0000421	-	Zmob_0399	ZMO1_ZMO0904	ZMO0904
N0.HOG0000454	OG0000422	-	Zmob_0400	ZMO1_ZMO0903	ZMO0903
N0.HOG0000455	OG0000423	-	Zmob_0401	ZMO1_ZMO0902	ZMO0902
N0.HOG0000456	OG0000424	-	Zmob_0402	ZMO1_ZMO0901	ZMO0901
N0.HOG0000457	OG0000425	-	Zmob_0403	ZMO1_ZMO0900	ZMO0900
N0.HOG0000458	OG0000426	-	Zmob_0404	ZMO1_ZMO0899	ZMO0899
N0.HOG0000459	OG0000427	-	Zmob_0405	ZMO1_ZMO0896	ZMO0896
N0.HOG0000460	OG0000428	-	Zmob_0406	ZMO1_ZMO0895	ZMO0895
N0.HOG0000461	OG0000429	-	Zmob_0407	ZMO1_ZMO0894	ZMO0894
N0.HOG0000462	OG0000430	-	Zmob_0408	ZMO1_ZMO0893	ZMO0893
N0.HOG0000463	OG0000431	-	Zmob_0409	ZMO1_ZMO0892	ZMO0892
N0.HOG0000464	OG0000432	-	Zmob_0410	ZMO1_ZMO0890	ZMO0890
N0.HOG0000465	OG0000433	-	Zmob_0411	ZMO1_ZMO0889	ZMO0889
N0.HOG0000466	OG0000434	-	Zmob_0413	ZMO1_ZMO0886	ZMO0886
N0.HOG0000467	OG0000435	-	Zmob_0414	ZMO1_ZMO0885	ZMO0885
N0.HOG0000468	OG0000436	-	Zmob_0415	ZMO1_ZMO0884	ZMO0884
N0.HOG0000469	OG0000437	-	Zmob_0416	ZMO1_ZMO0883	ZMO0883
N0.HOG0000470	OG0000438	-	Zmob_0417	ZMO1_ZMO0882	ZMO0882
N0.HOG0000471	OG0000439	-	Zmob_0418	ZMO1_ZMO0880	ZMO0880
N0.HOG0000472	OG0000440	-	Zmob_0419	ZMO1_ZMO0878	ZMO0878
N0.HOG0000473	OG0000441	-	Zmob_0420	ZMO1_ZMO0877	ZMO0877
N0.HOG0000474	OG0000442	-	Zmob_0421	ZMO1_ZMO0876	ZMO0876
N0.HOG0000475	OG0000443	-	Zmob_0422	ZMO1_ZMO0875	ZMO0875
N0.HOG0000476	OG0000444	-	Zmob_0423	ZMO1_ZMO0874	ZMO0874
N0.HOG0000477	OG0000445	-	Zmob_0424	ZMO1_ZMO0873	ZMO0873
N0.HOG0000478	OG0000446	-	Zmob_0425	ZMO1_ZMO0872	ZMO0872
N0.HOG0000479	OG0000447	-	Zmob_0426	ZMO1_ZMO0871	ZMO0871
N0.HOG0000480	OG0000448	-	Zmob_0427	ZMO1_ZMO0870	ZMO0870
N0.HOG0000481	OG0000449	-	Zmob_0428	ZMO1_ZMO0869	ZMO0869
N0.HOG0000482	OG0000450	-	Zmob_0429	ZMO1_ZMO0868	ZMO0868
N0.HOG0000483	OG0000451	-	Zmob_0430	ZMO1_ZMO0867	ZMO0867
N0.HOG0000484	OG0000452	-	Zmob_0431	ZMO1_ZMO0866	ZMO0866
N0.HOG0000485	OG0000453	-	Zmob_0432	ZMO1_ZMO0865	ZMO0865
N0.HOG0000486	OG0000454	-	Zmob_0433	ZMO1_ZMO0864	ZMO0864
N0.HOG0000487	OG0000455	-	Zmob_0434	ZMO1_ZMO0863	ZMO0863
N0.HOG0000488	OG0000456	-	Zmob_0435	ZMO1_ZMO0862	ZMO0862
N0.HOG0000489	OG0000457	-	Zmob_0436	ZMO1_ZMO0861	ZMO0861
N0.HOG0000490	OG0000458	-	Zmob_0437	ZMO1_ZMO0860	ZMO0860
N0.HOG0000491	OG0000459	-	Zmob_0438	ZMO1_ZMO0859	ZMO0859
N0.HOG0000492	OG0000460	-	Zmob_0439	ZMO1_ZMO0857	ZMO0857
N0.HOG0000493	OG0000461	-	Zmob_0440	ZMO1_ZMO0856	ZMO0856
N0.HOG0000494	OG0000462	-	Zmob_0441	ZMO1_ZMO0855	ZMO0855
N0.HOG0000495	OG0000463	-	Zmob_0442	ZMO1_ZMO0854	ZMO0854
N0.HOG0000496	OG0000464	-	Zmob_0444	ZMO1_ZMO0852	ZMO0852
N0.HOG0000497	OG0000465	-	Zmob_0445	ZMO1_ZMO0851	ZMO0851
N0.HOG0000498	OG0000466	-	Zmob_0446	ZMO1_ZMO0850	ZMO0850
N0.HOG0000499	OG0000467	-	Zmob_0449	ZMO1_ZMO0847	ZMO0847
N0.HOG0000500	OG0000468	-	Zmob_0450	ZMO1_ZMO0846	ZMO0846
N0.HOG0000501	OG0000469	-	Zmob_0451	ZMO1_ZMO0845	ZMO0845
N0.HOG0000502	OG0000470	-	Zmob_0452	ZMO1_ZMO0844	ZMO0844
N0.HOG0000503	OG0000471	-	Zmob_0453	ZMO1_ZMO0843	ZMO0843
N0.HOG0000504	OG0000472	-	Zmob_0454	ZMO1_ZMO0842	ZMO0842
N0.HOG0000505	OG0000473	-	Zmob_0455	ZMO1_ZMO0841	ZMO0841
N0.HOG0000506	OG0000474	-	Zmob_0456	ZMO1_ZMO0840	ZMO0840
N0.HOG0000507	OG0000475	-	Zmob_0457	ZMO1_ZMO0837	ZMO0837
N0.HOG0000508	OG0000476	-	Zmob_0458	ZMO1_ZMO0836	ZMO0836
N0.HOG0000509	OG0000477	-	Zmob_0459	ZMO1_ZMO0835	ZMO0835
N0.HOG0000510	OG0000478	-	Zmob_0460	ZMO1_ZMO0834	ZMO0834
N0.HOG0000511	OG0000479	-	Zmob_0461	ZMO1_ZMO0833	ZMO0833
N0.HOG0000512	OG0000480	-	Zmob_0462	ZMO1_ZMO0832	ZMO0832
N0.HOG0000513	OG0000481	-	Zmob_0463	ZMO1_ZMO0831	ZMO0831
N0.HOG0000514	OG0000482	-	Zmob_0464	ZMO1_ZMO0830	ZMO0830
N0.HOG0000515	OG0000483	-	Zmob_0465	ZMO1_ZMO0829	ZMO0829
N0.HOG0000516	OG0000484	-	Zmob_0466	ZMO1_ZMO0828	ZMO0828
N0.HOG0000517	OG0000485	-	Zmob_0467	ZMO1_ZMO0827	ZMO0827
N0.HOG0000518	OG0000486	-	Zmob_0468	ZMO1_ZMO0826	ZMO0826
N0.HOG0000519	OG0000487	-	Zmob_0469	ZMO1_ZMO0825	ZMO0825
N0.HOG0000520	OG0000488	-	Zmob_0470	ZMO1_ZMO0824	ZMO0824
N0.HOG0000521	OG0000489	-	Zmob_0471	ZMO1_ZMO0823	ZMO0823
N0.HOG0000522	OG0000490	-	Zmob_0472	ZMO1_ZMO0822	ZMO0822
N0.HOG0000523	OG0000491	-	Zmob_0473	ZMO1_ZMO0821	ZMO0821
N0.HOG0000524	OG0000492	-	Zmob_0474	ZMO1_ZMO0820	ZMO0820
N0.HOG0000525	OG0000493	-	Zmob_0475	ZMO1_ZMO0819	ZMO0819
N0.HOG0000526	OG0000494	-	Zmob_0476	ZMO1_ZMO0818	ZMO0818
N0.HOG0000527	OG0000495	-	Zmob_0477	ZMO1_ZMO0815	ZMO0815
N0.HOG0000528	OG0000496	-	Zmob_0478	ZMO1_ZMO0814	ZMO0814
N0.HOG0000529	OG0000497	-	Zmob_0479	ZMO1_ZMO0813	ZMO0813
N0.HOG0000530	OG0000498	-	Zmob_0480	ZMO1_ZMO0812	ZMO0812
N0.HOG0000531	OG0000499	-	Zmob_0481	ZMO1_ZMO0811	ZMO0811
N0.HOG0000532	OG0000500	-	Zmob_0482	ZMO1_ZMO0810	ZMO0810
N0.HOG0000533	OG0000501	-	Zmob_0483	ZMO1_ZMO0809	ZMO0809
N0.HOG0000534	OG0000502	-	Zmob_0484	ZMO1_ZMO0807	ZMO0807
N0.HOG0000535	OG0000503	-	Zmob_0485	ZMO1_ZMO0806	ZMO0806
N0.HOG0000536	OG0000504	-	Zmob_0486	ZMO1_ZMO0805	ZMO0805
N0.HOG0000537	OG0000505	-	Zmob_0487	ZMO1_ZMO0804	ZMO0804
N0.HOG0000538	OG0000506	-	Zmob_0488	ZMO1_ZMO0803	ZMO0803
N0.HOG0000539	OG0000507	-	Zmob_0489	ZMO1_ZMO0801	ZMO0801
N0.HOG0000540	OG0000508	-	Zmob_0490	ZMO1_ZMO0800	ZMO0800
N0.HOG0000541	OG0000509	-	Zmob_0491	ZMO1_ZMO0799	ZMO0799
N0.HOG0000542	OG0000510	-	Zmob_0492	ZMO1_ZMO0798	ZMO0798
N0.HOG0000543	OG0000511	-	Zmob_0494	ZMO1_ZMO0796	ZMO0796
N0.HOG0000544	OG0000512	-	Zmob_0495	ZMO1_ZMO0795	ZMO0795
N0.HOG0000545	OG0000513	-	Zmob_0496	ZMO1_ZMO0794	ZMO0794
N0.HOG0000546	OG0000514	-	Zmob_0497	ZMO1_ZMO0793	ZMO0793
N0.HOG0000547	OG0000515	-	Zmob_0498	ZMO1_ZMO0792	ZMO0792
N0.HOG0000548	OG0000516	-	Zmob_0499	ZMO1_ZMO0791	ZMO0791
N0.HOG0000549	OG0000517	-	Zmob_0503	ZMO1_ZMO0788	ZMO0788
N0.HOG0000550	OG0000518	-	Zmob_0504	ZMO1_ZMO0787	ZMO0787
N0.HOG0000551	OG0000519	-	Zmob_0505	ZMO1_ZMO0786	ZMO0786
N0.HOG0000552	OG0000520	-	Zmob_0506	ZMO1_ZMO0785	ZMO0785
N0.HOG0000553	OG0000521	-	Zmob_0507	ZMO1_ZMO0784	ZMO0784
N0.HOG0000554	OG0000522	-	Zmob_0509	ZMO1_ZMO0782	ZMO0782
N0.HOG0000555	OG0000523	-	Zmob_0510	ZMO1_ZMO0781	ZMO0781
N0.HOG0000556	OG0000524	-	Zmob_0511	ZMO1_ZMO0780	ZMO0780
N0.HOG0000557	OG0000525	-	Zmob_0512	ZMO1_ZMO0779	ZMO0779
N0.HOG0000558	OG0000526	-	Zmob_0514	ZMO1_ZMO0777	ZMO0777
N0.HOG0000559	OG0000527	-	Zmob_0515	ZMO1_ZMO0776	ZMO0776
N0.HOG0000560	OG0000528	-	Zmob_0516	ZMO1_ZMO0774	ZMO0774
N0.HOG0000561	OG0000529	-	Zmob_0518	ZMO1_ZMO0770	ZMO0770
N0.HOG0000562	OG0000530	-	Zmob_0519	ZMO1_ZMO0769	ZMO0769
N0.HOG0000563	OG0000531	-	Zmob_0520	ZMO1_ZMO0768	ZMO0768
N0.HOG0000564	OG0000532	-	Zmob_0521	ZMO1_ZMO0767	ZMO0767
N0.HOG0000565	OG0000533	-	Zmob_0522	ZMO1_ZMO0766	ZMO0766
N0.HOG0000566	OG0000534	-	Zmob_0523	ZMO1_ZMO0765	ZMO0765
N0.HOG0000567	OG0000535	-	Zmob_0524	ZMO1_ZMO0764	ZMO0764
N0.HOG0000568	OG0000536	-	Zmob_0525	ZMO1_ZMO0763	ZMO0763
N0.HOG0000569	OG0000537	-	Zmob_0526	ZMO1_ZMO0760	ZMO0760
N0.HOG0000570	OG0000538	-	Zmob_0527	ZMO1_ZMO0759	ZMO0759
N0.HOG0000571	OG0000539	-	Zmob_0528	ZMO1_ZMO0758	ZMO0758
N0.HOG0000572	OG0000540	-	Zmob_0529	ZMO1_ZMO0757	ZMO0757
N0.HOG0000573	OG0000541	-	Zmob_0530	ZMO1_ZMO0756	ZMO0756
N0.HOG0000574	OG0000542	-	Zmob_0531	ZMO1_ZMO0754	ZMO0754
N0.HOG0000575	OG0000543	-	Zmob_0532	ZMO1_ZMO0753	ZMO0753
N0.HOG0000576	OG0000544	-	Zmob_0533	ZMO1_ZMO0752	ZMO0752
N0.HOG0000577	OG0000545	-	Zmob_0534	ZMO1_ZMO0751	ZMO0751
N0.HOG0000578	OG0000546	-	Zmob_0535	ZMO1_ZMO0750	ZMO0750
N0.HOG0000579	OG0000547	-	Zmob_0536	ZMO1_ZMO0749	ZMO0749
