HOG	OG	Gene Tree Parent Clade	Acinetobacter_baumannii_ATCC_17978	Aggregatibacter_actinomycetemcomitans_624	Aggregatibacter_actinomycetemcomitans_VT1169	Agrobacterium_fabrum	Azoarcus_olearius_DQS-4	Bacteroides_thetaiotaomicron_VPI-5482	Bradyrhizobium_diazoefficiens	Brevundimonas_subvibrioides	Burkholderia_cenocepacia_J2315	Campylobacter_jejuni_81-176	Caulobacter_crescentus	Caulobacter_vibrioides	Citrobacter_rodentium_ICC168	Clostridium_difficile_R20291	Enterobacter_cloacae_ATCC_13047	Escherichia_coli_BW25113	Escherichia_coli_Nissle_1917	Escherichia_coli_UTI89	Francisella_tularensis_Schu_S4	Herbaspirillum_seropedicae_SmR1	Klebsiella_pneumoniae_ATCC_43816_KPPR1	Legionella_pneumophila_Philadelphia_1	Mycobacterium_tuberculosis_H37Rv	Neisseria_meningitidis_Z2491	Novosphingobium_aromaticivorans	Porphyromonas_gingivalis_ATCC_33277	Providencia_stuartii_BE2467	Pseudomonas_aeruginosa_PAO1	Pseudomonas_aeruginosa_UCBPP-PA14	Pseudomonas_simiae_WCS417	Pseudomonas_syringae_B728a	Ralstonia_solanacearum_GMI1000	Ralstonia_solanacearum_IBSBF1503	Ralstonia_solanacearum_PSI07	Rhodobacter_sphaeroides	Rhodopseudomonas_palustris	Salmonella_enterica_14028S	Salmonella_typhi_CT18	Salmonella_typhimurium_SL1344	Snodgrassella_alvi_wkB2	Sphingomonas_wittichii	Staphylococcus_aureus_6850	Staphylococcus_aureus_MRSA252	Staphylococcus_aureus_MSSA476	Staphylococcus_aureus_NCTC_8325	Staphylococcus_aureus_USA300_TCH1516	Streptococcus_agalactiae_A909	Streptococcus_pneumoniae_BHN97x	Streptococcus_pneumoniae_TIGR4	Streptococcus_pyogenes_5448	Vibrio_anguillarum_425	Vibrio_cholerae_N16961	Vibrio_fischeri_ES114	Yersinia_pestis_CO92	Zymomonas_mobilis
N0.HOG0000684	OG0000009	n98				At1D132_43470		BT_4396																						PA3571	PA14_54610, PA14_18110																									YPO3619	
N0.HOG0000685	OG0000009	n105					dqs_0050		BA000040v2__258, BA000040v2__6353, BA000040v2__264																		Saro_3661									RPSI07_2643		RPA1321, RPA2110, RPA1326					Swit_3315														
N0.HOG0000686	OG0000009	n114				At1D132_00830			BA000040v2__4326, BA000040v2__4327		BCAS0556											Hsero_4525, Hsero_4515								PA2696	PA14_29260	PS417_16110																									
N0.HOG0000687	OG0000009	n126							BA000040v2__2862, BA000040v2__5197, BA000040v2__1114, BA000040v2__3454, BA000040v2__3601	Bresu_3305																	Saro_0758																Swit_0716, Swit_0810														
N0.HOG0000688	OG0000009	n137	A1S_1713								BCAL3176				ROD_16011		ECL_02026						VK055_0543							PA3898	PA14_13470	PS417_23415	Psyr_1041	RSp1157	RALBFv3_18260	RPSI07_mp1188																					
N0.HOG0000689	OG0000009	n148									BCAL1146, BCAM0168																																														
N0.HOG0000690	OG0000009	n152	A1S_1330								BCAM2505				ROD_25471														BGK56_02115	PA1261	PA14_47910	PS417_14295																									
N0.HOG0000691	OG0000009	n160	A1S_1471								BCAM1415				ROD_48311	CDR20291_1133	ECL_00739					Hsero_3865	VK055_2669									PS417_15905																							VF_1074		
N0.HOG0000692	OG0000009	n171	A1S_2223			At1D132_27310					BCAM2240												VK055_1325							PA2489, PA2917	PA14_32450, PA14_26330	PS417_03390																									
N0.HOG0000693	OG0000009	n181																												PA1619	PA14_43580			RSp1115	RALBFv3_11250																		B5S57_06325	VC_0192			
N0.HOG0000694	OG0000009	n186	A1S_2320								BCAL2901, BCAL0969						ECL_00605						VK055_2860						BGK56_02705	PA5342, PA3269	PA14_70530, PA14_21720																						B5S57_03265	VC_A1001			
N0.HOG0000695	OG0000009	n197				At1D132_05450					BCAM2003																			PA0416	PA14_05420	PS417_14185		RSp0686	RALBFv3_20255	RPSI07_mp0589																					
N0.HOG0000696	OG0000009	n208													ROD_21211	CDR20291_1922							VK055_4325																STM14_2525	AL513382v1__4202	SL1344_2012			RSAU_000643		SAS0632	SAOUHSC_00673								VF_A1126		
N0.HOG0000697	OG0000009	n218													ROD_35761		ECL_04351																						STM14_5314		SL1344_4355																
N0.HOG0000698	OG0000009	n222														CDR20291_2553, CDR20291_1931, CDR20291_2975																																									
N0.HOG0000699	OG0000009	n227				At1D132_40520					BCAM0095, BCAM2019											Hsero_3398, Hsero_1061								PA2337	PA14_34440	PS417_12725	Psyr_2441																								
N0.HOG0000700	OG0000009	n235				At1D132_40300					BCAM0973																					PS417_11510	Psyr_4811																					VC_1260	VF_1787, VF_A0029		
N0.HOG0000701	OG0000009	n241						BT_4054, BT_3122																																																	
N0.HOG0000702	OG0000009	n242																																															SAK_1191	CWI64_08480							
N0.HOG0000703	OG0000009	n243													ROD_27971, ROD_38451, ROD_38461		ECL_05069, ECL_05070	BW25113_3906, BW25113_3905	ECOLIN_21765, ECOLIN_21760	UTI89_C4489, UTI89_C4488			VK055_0594, VK055_3262, VK055_3263																STM14_4870, STM14_4869	AL513382v1__7727, AL513382v1__7730	SL1344_3998, SL1344_3997												B5S57_13925	VC_1825	VF_A0708	YPO0333, YPO0332	
N0.HOG0000704	OG0000009	n267																		UTI89_C0373																							Swit_2225	RSAU_000058	SAR0107	SAS0078	SAOUHSC_00056	USA300HOU_0113						VC_A0231	VF_A0556		
N0.HOG0000705	OG0000009	n276				At1D132_11220					BCAM0868		CC_1501	CCNA_01569								Hsero_1244		lpg2549						PA0780, PA3220	PA14_54190, PA14_22580	PS417_19920	Psyr_0910	RSc0234	RALBFv3_10345		RSP_3309																B5S57_03765	VC_A1074	VF_A0833		
N0.HOG0000706	OG0000009	n299																BW25113_0305	ECOLIN_01930	UTI89_C0328		Hsero_0172	VK055_3436																STM14_0657	AL513382v1__1200	SL1344_0551																
N0.HOG0000707	OG0000009	n307									BCAS0352, BCAL2570																			PA2332	PA14_34450	PS417_14430																									
N0.HOG0000708	OG0000009	n311		ACT75_04125, ACT75_04340	ACT74_08240, ACT74_08925						BCAL3213															NMA1783				PA0564	PA14_07340	PS417_27085			RALBFv3_01750																						
N0.HOG0000709	OG0000009	n321							BA000040v2__4864																							PS417_13580																									
N0.HOG0000710	OG0000009	n325									BCAL1077																																Swit_1911														
N0.HOG0000711	OG0000009	n327				At1D132_42680																																					Swit_1375														
N0.HOG0000712	OG0000009	n329									BCAS0436												VK055_0402								PA14_15650																										
N0.HOG0000713	OG0000009	n331									BCAM2239											Hsero_2411, Hsero_2445	VK055_0467																																		
N0.HOG0000714	OG0000009	n334				At1D132_30340			BA000040v2__4251		BCAM0583						ECL_01524					Hsero_1071	VK055_0829									PS417_11055																									
N0.HOG0000715	OG0000009	n348																																RSc1802	RALBFv3_00920	RPSI07_1843																					
N0.HOG0000716	OG0000009	n351									BCAM0675		CC_2959	CCNA_03055																																											
N0.HOG0000717	OG0000009	n353							BA000040v2__4352		BCAL2577, BCAL0944		CC_1780	CCNA_01858																		PS417_09665			RALBFv3_19825	RPSI07_mp0745		RPA2422																			
N0.HOG0000718	OG0000009	n361											CC_1779	CCNA_01857							FTT_0530c												Psyr_2739									SALWKB2_0164												VC_A0455			
N0.HOG0000719	OG0000009	n366									BCAM0456		CC_0208	CCNA_00208								Hsero_3502													RALBFv3_23385																						
N0.HOG0000720	OG0000009	n371									BCAM0835																							RSp1387																							
N0.HOG0000721	OG0000009	n373				At1D132_32600	dqs_3968, dqs_3850		BA000040v2__5030		BCAL0772						ECL_00606													PA4436	PA14_57630	PS417_25355, PS417_04130	Psyr_4121										Swit_0326, Swit_0309										B5S57_12520				
N0.HOG0000722	OG0000009	n391									BCAM2306																			PA5389	PA14_71170	PS417_26270	Psyr_2915																								
N0.HOG0000723	OG0000009	n396									BCAM2408, BCAM2327																			PA5380, PA4184	PA14_71070, PA14_09770	PS417_26305, PS417_10875, PS417_14325	Psyr_4708	RSc1108, RSp0068, RSp0054																							
N0.HOG0000724	OG0000009	n408									BCAL1058																			PA0893	PA14_52740	PS417_21720	Psyr_3566																								
N0.HOG0000725	OG0000009	n412				At1D132_39590, At1D132_14680																															RSP_3203, RSP_2922, RSP_3997																				
N0.HOG0000726	OG0000009	n416				At1D132_40420					BCAM2393																							RSp0044, RSc1098			RSP_3514																				
N0.HOG0000727	OG0000009	n422																							Rv1931c					PA1850	PA14_40600																										
N0.HOG0000728	OG0000009	n425				At1D132_27560	dqs_3902		BA000040v2__7769								ECL_00204															PS417_27095, PS417_16125																									
N0.HOG0000729	OG0000009	n431							BA000040v2__4353				CC_2960	CCNA_03054																								RPA2423																			
N0.HOG0000730	OG0000009	n435									BCAS0761, BCAL0945						ECL_01527					Hsero_3503, Hsero_2535, Hsero_2379										PS417_09670			RALBFv3_23390																						
N0.HOG0000731	OG0000009	n443									BCAM0677											Hsero_3787																																			
N0.HOG0000732	OG0000009	n445									BCAM1434											Hsero_4630																					Swit_3370														
N0.HOG0000733	OG0000009	n447									BCAS0067																					PS417_11175																									
N0.HOG0000734	OG0000009	n450									BCAM2150		CC_3367	CCNA_03478			ECL_02020						VK055_0883										Psyr_2740																								
N0.HOG0000735	OG0000009	n455									BCAL2825				ROD_04011		ECL_00081						VK055_3442							PA3782	PA14_15150																										
N0.HOG0000736	OG0000009	n460									BCAL2524, BCAM2616																																														
N0.HOG0000737	OG0000009	n461	A1S_2582					BT_2910, BT_3768, BT_2308, BT_3660	BA000040v2__2197						ROD_40461			BW25113_3680				Hsero_1366			Rv1930c				BGK56_06760	PA1713, PA2281	PA14_42390, PA14_35070			RSc1813		RPSI07_1865	RSP_6018						Swit_0934						SAK_0775, SAK_0516, SAK_0531	CWI64_04865	SP_1433, SP_1899		B5S57_04910			YPO0260, AL117189v1__95	
N0.HOG0000738	OG0000010	n4						BT_1529, BT_0856, BT_1469, BT_0690																				PGN_0775, PGN_0012																													
N0.HOG0000739	OG0000010	n10																								NMA0159																SALWKB2_0143															
N0.HOG0000740	OG0000010	n13		ACT75_00470																																	RSP_2130		STM14_2947	AL513382v1__5196	SL1344_2364												B5S57_02055	VC_A0704			
N0.HOG0000741	OG0000010	n23				At1D132_26140																								PA5511	PA14_72720	PS417_22645	Psyr_3995				RSP_1612																				
N0.HOG0000742	OG0000010	n29				At1D132_31010				Bresu_3003																																															
N0.HOG0000743	OG0000010	n33							BA000040v2__3800		BCAM2534																																														
N0.HOG0000744	OG0000010	n35					dqs_2069												ECOLIN_22710	UTI89_C4638														RSp0009	RALBFv3_23215	RPSI07_mp0010																					
N0.HOG0000745	OG0000010	n40					dqs_0458																							PA1335	PA14_46990	PS417_05535	Psyr_3913			RPSI07_1302																					
N0.HOG0000746	OG0000010	n45									BCAL0724																							RSc0332	RALBFv3_10790	RPSI07_3078																					
N0.HOG0000747	OG0000010	n48																												PA5166	PA14_68250	PS417_01305	Psyr_4938																								
N0.HOG0000748	OG0000010	n51																																																			B5S57_15055	VC_1926			
N0.HOG0000749	OG0000010	n52				At1D132_11320			BA000040v2__4562	Bresu_1783			CC_1743	CCNA_01817													Saro_1930										RSP_2840	RPA2595					Swit_0250														ZMO1_ZMO1124
N0.HOG0000750	OG0000010	n61					dqs_3636, dqs_0081	BT_2618, BT_0015, BT_3801				CJJ81176_1043				CDR20291_1636														PA5483, PA4726	PA14_72380, PA14_62540	PS417_00450, PS417_23895	Psyr_0263, Psyr_0831																					VC_1522	VF_1401		
N0.HOG0000751	OG0000010	n79					dqs_2905								ROD_37481, ROD_24971		ECL_03891	BW25113_4004, BW25113_2554	ECOLIN_22340, ECOLIN_13965	UTI89_C2873		Hsero_4739	VK055_3087, VK055_4622						BGK56_06415										STM14_5015, STM14_3141	AL513382v1__7490, AL513382v1__5656	SL1344_4113, SL1344_2524															YPO2914	
N0.HOG0000752	OG0000010	n99	A1S_1978			At1D132_11300	dqs_0809		BA000040v2__4560		BCAL2222		CC_1741	CCNA_01815	ROD_38931		ECL_05113	BW25113_3868	ECOLIN_21565	UTI89_C4457		Hsero_3125	VK055_3297				Saro_1928		BGK56_12150	PA5125	PA14_67680	PS417_01635	Psyr_4822	RSc1261	RALBFv3_15520	RPSI07_2104	RSP_2838	RPA2593	STM14_4817	AL513382v1__7816	SL1344_3952		Swit_0247										B5S57_19525	VC_2749	VF_0095	YPO0022	
N0.HOG0000753	OG0000010	n131					dqs_3495															Hsero_4634		lpg1174						PA4547	PA14_60260		Psyr_0722	RSc2807	RALBFv3_06080	RPSI07_0700						SALWKB2_1664															
N0.HOG0000754	OG0000010	n140																BW25113_2220	ECOLIN_12505	UTI89_C2502			VK055_4881									PS417_05525										SALWKB2_1754															
N0.HOG0000755	OG0000010	n146					dqs_3957	BT_2433	BA000040v2__7012																												RSP_0507	RPA0979																			
N0.HOG0000756	OG0000010	n151				At1D132_35550			BA000040v2__7217	Bresu_2976			CC_3315	CCNA_03424													Saro_1842										RSP_1590	RPA4187					Swit_1185										B5S57_15470	VC_1021	VF_A1026, VF_0937		
N0.HOG0000757	OG0000010	n164						BT_4375																				PGN_0261																													
N0.HOG0000758	OG0000010	n166					dqs_1961				BCAL1011, BCAL2859, BCAM1504																							RSp1667, RSp1668	RALBFv3_23305, RALBFv3_23300	RPSI07_mp1782, RPSI07_mp1783																					
N0.HOG0000759	OG0000010	n176					dqs_3324, dqs_3166				BCAM2025, BCAM0871, BCAL2913, BCAM1342											Hsero_2730					Saro_2047			PA1945	PA14_39360	PS417_12465	Psyr_3011	RSc1186	RALBFv3_15110	RPSI07_2191							Swit_3441										B5S57_17140	VC_0665	VF_0454		
N0.HOG0000760	OG0000010	n195					dqs_1349				BCAL1817													lpg0853						PA1097, PA1663	PA14_50220, PA14_42970	PS417_19825, PS417_15295	Psyr_3461, Psyr_0077				RSP_0071																B5S57_09900, B5S57_04310	VC_2137, VC_A0117	VF_1856, VF_0998		ZMO1_ZMO0850
N0.HOG0000761	OG0000010	n215							BA000040v2__5815						ROD_30801, ROD_31051		ECL_04071, ECL_04046	BW25113_2491, BW25113_2731, BW25113_2709	ECOLIN_14750, ECOLIN_14605, ECOLIN_25370, ECOLIN_14600	UTI89_C3094, UTI89_C3071		Hsero_2507	VK055_4446, VK055_4473							PA2665	PA14_29620	PS417_23405		RSp0959				RPA2111	STM14_3455, STM14_3430	AL513382v1__6118, AL513382v1__6044	SL1344_2839, SL1344_2819												B5S57_03095	VC_A0182	VF_A0862, VF_1783		
N0.HOG0000762	OG0000010	n247	A1S_0232, A1S_0233						BA000040v2__1939						ROD_17051	CDR20291_0390	ECL_01775	BW25113_1303	ECOLIN_07595	UTI89_C1573			VK055_1152				Saro_1154		BGK56_01740										STM14_2041	AL513382v1__2578	SL1344_1621		Swit_2936										B5S57_14290	VC_1679	VF_A0310	YPO2352	ZMO1_ZMO1061
N0.HOG0000763	OG0000010	n268																				Hsero_4585					Saro_3839, Saro_3476, Saro_1494						Psyr_2735	RSp0228	RALBFv3_22385	RPSI07_mp0181							Swit_3262														
N0.HOG0000764	OG0000010	n278					dqs_2621																															RPA1374, RPA1439																			
N0.HOG0000765	OG0000010	n280					dqs_0529		BA000040v2__2097																												RSP_0547	RPA4632																			ZMO1_ZMO1816
N0.HOG0000766	OG0000010	n285					dqs_2590, dqs_1992																																																		
N0.HOG0000767	OG0000010	n290					dqs_2458				BCAM0552, BCAS0052											Hsero_0949								PA2359, PA2354	PA14_34150, PA14_34210	PS417_09450	Psyr_3248																								
N0.HOG0000768	OG0000010	n299					dqs_2849		BA000040v2__7090	Bresu_2809			CC_0909	CCNA_00954	ROD_02351									lpg1762						PA3932, PA1099	PA14_13000, PA14_50180	PS417_01000, PS417_19815	Psyr_0327, Psyr_3459				RSP_0051	RPA1268					Swit_1285										B5S57_09910	VC_2135	VF_1854	YPO0712	ZMO1_ZMO0631
N0.HOG0000769	OG0000010	n321									BCAL1536																					PS417_03555	Psyr_1190, Psyr_1191	RSp1079	RALBFv3_18525	RPSI07_mp1121																					
N0.HOG0000770	OG0000010	n329		ACT75_10485	ACT74_01690										ROD_16791	CDR20291_0384	ECL_01794	BW25113_1323	ECOLIN_07695	UTI89_C1594			VK055_1142						BGK56_01775	PA1196, PA0873, PA2449	PA14_48830, PA14_52980, PA14_32940	PS417_19895, PS417_22350	Psyr_3574, Psyr_1101						STM14_2908, STM14_2033	AL513382v1__5099, AL513382v1__2592	SL1344_2330, SL1344_1613												B5S57_12910	VC_1308	VF_A0751	YPO2344	
N0.HOG0000771	OG0000010	n359									BCAM2704				ROD_43091, ROD_03931, ROD_34041	CDR20291_2754, CDR20291_2588, CDR20291_2933, CDR20291_0167, CDR20291_1024, CDR20291_2621, CDR20291_2270, CDR20291_2765, CDR20291_3104, CDR20291_1259, CDR20291_0373, CDR20291_0737, CDR20291_3093, CDR20291_3042, CDR20291_1999		BW25113_0330, BW25113_2869	ECOLIN_02075, ECOLIN_15475	UTI89_C3254		Hsero_3121							BGK56_06670		PA14_36000			RSp0123	RALBFv3_22805	RPSI07_mp0088			STM14_0760, STM14_0429	AL513382v1__1372, AL513382v1__787	SL1344_0640, SL1344_0362																
N0.HOG0000772	OG0000010	n395							BA000040v2__892		BCAM2715																			PA2005	PA14_38570	PS417_12160																									
N0.HOG0000773	OG0000010	n400					dqs_1340		BA000040v2__3754																							PS417_11085					RSP_2800																				
N0.HOG0000774	OG0000010	n404				At1D132_44260	dqs_4019		BA000040v2__7378		BCAL1914											Hsero_3807								PA4021, PA4147	PA14_11830, PA14_10290	PS417_24805, PS417_11760		RSc3129	RALBFv3_07815		RSP_3322																				
N0.HOG0000775	OG0000010	n417					dqs_2985, dqs_3072, dqs_3080				BCAM2211, BCAM2365											Hsero_1898	VK055_4527									PS417_16245	Psyr_1736					RPA1207																VC_1817			
N0.HOG0000776	OG0000011	n3					dqs_1821															Hsero_0014								PA4367	PA14_56790	PS417_22190, PS417_18610	Psyr_4060, Psyr_1981																				B5S57_17175	VC_0658			
N0.HOG0000777	OG0000011	n13																																																			B5S57_16930	VC_0703	VF_0985		
N0.HOG0000778	OG0000011	n18					dqs_1690, dqs_3993, dqs_3195, dqs_1479, dqs_1024, dqs_0575, dqs_1613															Hsero_3610, Hsero_4765		lpg0891										RSp0254	RALBFv3_22215	RPSI07_mp0220																					
N0.HOG0000779	OG0000011	n31					dqs_2682																										Psyr_1098																								
N0.HOG0000780	OG0000011	n32					dqs_3642																										Psyr_0509																								
N0.HOG0000781	OG0000011	n35	A1S_0546				dqs_2820										ECL_01826, ECL_04648					Hsero_0855, Hsero_3309								PA3311, PA1727	PA14_21190, PA14_42220	PS417_06630, PS417_12760	Psyr_3843, Psyr_2486	RSp1097, RSc0510	RALBFv3_18440, RALBFv3_11705	RPSI07_mp1138, RPSI07_2854			STM14_4086	AL513382v1__7220	SL1344_3361																
N0.HOG0000782	OG0000011	n58				At1D132_43780			BA000040v2__7670																								Psyr_4493	RSp0813	RALBFv3_19805	RPSI07_mp0749																					
N0.HOG0000783	OG0000011	n64									BCAM1160, BCAM0580				ROD_17141		ECL_01754	BW25113_1285	ECOLIN_07520	UTI89_C1558														RSp0334, RSp1155, RSc0588, RSp0380	RALBFv3_21770, RALBFv3_18275, RALBFv3_12240, RALBFv3_21630	RPSI07_mp0306, RPSI07_mp1185, RPSI07_2765, RPSI07_mp0336			STM14_2058	AL513382v1__2541	SL1344_1634																
N0.HOG0000784	OG0000011	n86																				Hsero_2714, Hsero_2137																																			
N0.HOG0000785	OG0000011	n92																				Hsero_2556		lpg1114																																	
N0.HOG0000786	OG0000011	n94					dqs_0759, dqs_2360, dqs_3520, dqs_1667, dqs_2847																							PA0575	PA14_07500	PS417_25885	Psyr_4642																								
N0.HOG0000787	OG0000011	n102					dqs_1393, dqs_1108																							PA0285	PA14_03720	PS417_00920	Psyr_0086																								
N0.HOG0000788	OG0000011	n107	A1S_2337																											PA5442	PA14_71850	PS417_28235																									
N0.HOG0000789	OG0000011	n110																												PA4601	PA14_60870	PS417_24275	Psyr_4265																								
N0.HOG0000790	OG0000011	n113																						lpg0029						PA5017, PA5295	PA14_66320, PA14_69900	PS417_02210, PS417_27665	Psyr_4770, Psyr_0074																								
N0.HOG0000791	OG0000011	n121														CDR20291_1364, CDR20291_0685								lpg1057, lpg1168, lpg2642, lpg0277, lpg1518, lpg1357								PS417_05435																									
N0.HOG0000792	OG0000011	n132	A1S_1949								BCAL2449		CC_0655	CCNA_00692																								RPA0370																			
N0.HOG0000793	OG0000011	n138				At1D132_30170	dqs_3670, dqs_1599		BA000040v2__893																							PS417_19145	Psyr_1159, Psyr_2432, Psyr_3655					RPA0783																VC_0072			
N0.HOG0000794	OG0000011	n147				At1D132_19070			BA000040v2__4136													Hsero_0262																RPA3219																			
N0.HOG0000795	OG0000011	n150				At1D132_41850, At1D132_03830, At1D132_40850			BA000040v2__8093, BA000040v2__6312	Bresu_1191			CC_0857, CC_0896	CCNA_00900, CCNA_00940								Hsero_0548			Rv1354c		Saro_1983, Saro_1403, Saro_1106, Saro_3652, Saro_2658						Psyr_2597, Psyr_2711	RSc1545	RALBFv3_02050	RPSI07_1585	RSP_0335, RSP_3402, RSP_3101						Swit_1519, Swit_2927, Swit_1496, Swit_5300														ZMO1_ZMO0401
N0.HOG0000796	OG0000011	n179				At1D132_43190, At1D132_19040, At1D132_32930, At1D132_30510			BA000040v2__2461, BA000040v2__5621, BA000040v2__8249, BA000040v2__6577, BA000040v2__957, BA000040v2__7238, BA000040v2__884, BA000040v2__4888, BA000040v2__366, BA000040v2__5944, BA000040v2__598, BA000040v2__7194, BA000040v2__2657, BA000040v2__6633				CC_3094, CC_0091, CC_0740	CCNA_03191, CCNA_00089, CCNA_00777			ECL_02167										Saro_1031, Saro_1421, Saro_1435			PA2072	PA14_37690	PS417_14800					RSP_0030	RPA0521, RPA3410, RPA0390, RPA1121, RPA0777, RPA2957, RPA4167, RPA2152					Swit_5213, Swit_3968													YPO0998	
N0.HOG0000797	OG0000011	n223							BA000040v2__6205		BCAL1069											Hsero_1707											Psyr_3329																								
N0.HOG0000798	OG0000011	n228				At1D132_04670	dqs_1569, dqs_0691, dqs_2358		BA000040v2__1507	Bresu_0811			CC_3396	CCNA_03507																								RPA0914					Swit_0108														ZMO1_ZMO1055
N0.HOG0000799	OG0000011	n240														CDR20291_2551, CDR20291_2799, CDR20291_0448, CDR20291_1735, CDR20291_0205, CDR20291_2769, CDR20291_2040, CDR20291_1514, CDR20291_1387, CDR20291_1549, CDR20291_1268, CDR20291_0510, CDR20291_2648, CDR20291_0742								lpg0073																													B5S57_12025, B5S57_03315, B5S57_02445	VC_A0080, VC_1934			
N0.HOG0000800	OG0000011	n263																				Hsero_1364, Hsero_1709					Saro_3781			PA2567	PA14_31330, PA14_15435		Psyr_4221							AL513383v1__464																	
N0.HOG0000801	OG0000011	n271																																																			B5S57_02380	VC_A0785	VF_A1038		
N0.HOG0000802	OG0000011	n276							BA000040v2__1653, BA000040v2__404																									RSp1623	RALBFv3_16015	RPSI07_mp1729		RPA4516																			
N0.HOG0000803	OG0000011	n281																				Hsero_0627								PA3947	PA14_12810, PA14_59790	PS417_16935		RSc3387	RALBFv3_09135	RPSI07_0054		RPA1680															B5S57_10905	VC_1652			
N0.HOG0000804	OG0000011	n292	A1S_1254						BA000040v2__1557							CDR20291_3509									Rv1357c							PS417_15245			RALBFv3_16085	RPSI07_1818		RPA3184																VC_1211	VF_A0706		
N0.HOG0000805	OG0000011	n302																																RSp1051	RALBFv3_18730	RPSI07_mp1084																					
N0.HOG0000806	OG0000011	n306													ROD_05121, ROD_34461		ECL_01224, ECL_00319, ECL_02493	BW25113_0457, BW25113_4061	ECOLIN_02650, ECOLIN_22750	UTI89_C0484, UTI89_C4647		Hsero_3732	VK055_2127, VK055_3006, VK055_0435	lpg1469						PA2200	PA14_36260								STM14_0552, STM14_5126	AL513382v1__1007, AL513382v1__9116	SL1344_0461, SL1344_4200		Swit_2925										B5S57_04750				
N0.HOG0000807	OG0000011	n331									BCAM0158				ROD_p1231, ROD_29251, ROD_18531, ROD_23071, ROD_29321		ECL_03393, ECL_01111, ECL_01489, ECL_03495	BW25113_0315, BW25113_1168, BW25113_1815, BW25113_2176	ECOLIN_02000, ECOLIN_06860, ECOLIN_09750, ECOLIN_12290	UTI89_C0344, UTI89_C2011, UTI89_C2453			VK055_1481, VK055_0119, VK055_4912, VK055_4207							PA3825, PA2818	PA14_14530	PS417_14020							STM14_5555, STM14_2209, STM14_2739, STM14_0400	AL513382v1__3632, AL513382v1__4707, AL513382v1__754	SL1344_P1_0075, SL1344_1756, SL1344_2192, SL1344_0338												B5S57_12620	VC_A0101	VF_A0344	YPO1274	
N0.HOG0000808	OG0000011	n374	A1S_2422				dqs_1609		BA000040v2__953	Bresu_2608	BCAM2426										FTT_0981						Saro_1423		BGK56_20505, BGK56_11965	PA4959, PA2133	PA14_65540, PA14_36990	PS417_08615						RPA0529		AL513383v1__325			Swit_0565												VF_A1076		
N0.HOG0000809	OG0000011	n391																																																			B5S57_19530	VC_2750	VF_A1014, VF_0091, VF_0094		
N0.HOG0000810	OG0000011	n395					dqs_3810, dqs_1658			Bresu_1046					ROD_42781		ECL_04934	BW25113_3529	ECOLIN_19510	UTI89_C4061		Hsero_2700	VK055_3590									PS417_05295	Psyr_3942						STM14_4353	AL513382v1__8466	SL1344_3580												B5S57_14775, B5S57_17200	VC_0653	VF_0494	YPO3996	
N0.HOG0000811	OG0000011	n414							BA000040v2__6631						ROD_15471			BW25113_1489		UTI89_C1702		Hsero_0836																RPA3170																			
N0.HOG0000812	OG0000012	n2																				Hsero_3014								PA0338, PA0290	PA14_04420, PA14_03790	PS417_23340, PS417_20925, PS417_00910	Psyr_2110, Psyr_0088	RSp1203	RALBFv3_18085	RPSI07_mp1233																	B5S57_04470				
N0.HOG0000813	OG0000012	n16					dqs_2795															Hsero_3780																RPA3994																VC_A0939, VC_1216			
N0.HOG0000814	OG0000012	n21									BCAM2836				ROD_04291		ECL_01987, ECL_01143	BW25113_0385	ECOLIN_02265	UTI89_C0404		Hsero_3370										PS417_21835, PS417_15980	Psyr_3763						STM14_0455	AL513382v1__823	SL1344_0380														VF_A0796		
N0.HOG0000815	OG0000012	n36				At1D132_09820	dqs_2988, dqs_2552		BA000040v2__5200	Bresu_2373			CC_2462	CCNA_02546			ECL_01096					Hsero_4138	VK055_1299	lpg0230													RSP_0413	RPA3132					Swit_1155														
N0.HOG0000816	OG0000012	n55				At1D132_09470	dqs_2783		BA000040v2__5037													Hsero_0260										PS417_14815						RPA2769																			
N0.HOG0000817	OG0000012	n61							BA000040v2__7427													Hsero_2257												RSp0519, RSc2432	RALBFv3_21145	RPSI07_mp0449, RPSI07_1042		RPA1657																			
N0.HOG0000818	OG0000012	n68					dqs_3961, dqs_2260				BCAL1975																			PA2870	PA14_26970	PS417_12810			RALBFv3_16650	RPSI07_0310		RPA1790					Swit_2668, Swit_4379, Swit_3549														
N0.HOG0000819	OG0000012	n79				At1D132_18610																												RSc1893	RALBFv3_02415	RPSI07_1500	RSP_0406						Swit_2513														
N0.HOG0000820	OG0000012	n84				At1D132_08990									ROD_16621		ECL_01825	BW25113_1341	ECOLIN_07785	UTI89_C1612			VK055_0696														RSP_6180, RSP_3368						Swit_3469, Swit_1126														
N0.HOG0000821	OG0000012	n98				At1D132_08250, At1D132_13930, At1D132_17820			BA000040v2__4419	Bresu_2169			CC_1850	CCNA_01926								Hsero_1445					Saro_2481					PS417_25970	Psyr_4678					RPA1642, RPA2476					Swit_0404, Swit_2596										B5S57_12925, B5S57_01485	VC_A0848, VC_A0049, VC_A0560, VC_1593, VC_2697, VC_1353	VF_1245, VF_A0398, VF_A0381		
